,Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,Region,Year,3P_Rate,TopTeamThisYear?,best_pts,top_pts_sum,best_ast,top_ast_sum,best_per,top_per_avg,age,Year_Bin,Status,best_pts_scaled,top_pts_sum_scaled,best_ast_scaled,top_ast_sum_scaled
36,19,11.0,New York Knicks*,82,240.6,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16.0,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,0.659,East,2013,0.3541666666666667,True,28.7,61.0,5.5,11.8,24.8,21.93,30.07,2012-2014,Playoffs,0.287,0.61,0.2849740932642487,0.61139896373057
37,7,23.0,Indiana Pacers*,81,241.9,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,0.605,East,2013,0.2444168734491315,True,17.4,48.7,4.7,11.7,20.1,18.07,25.89,2012-2014,Playoffs,0.1837381203801478,0.5142555438225976,0.2315270935960591,0.5763546798029556
38,13,17.0,Brooklyn Nets*,82,242.1,35.9,79.8,0.45,7.7,21.5,0.357,28.2,58.3,0.484,17.5,23.9,0.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,0.598,East,2013,0.2694235588972431,False,19.4,54.6,7.7,13.8,24.7,22.3,28.67,2012-2014,Playoffs,0.20020639834881318,0.5634674922600619,0.3793103448275862,0.6798029556650247
39,23,7.0,Golden State Warriors*,82,241.5,38.2,83.4,0.458,8.0,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,0.573,West,2013,0.2386091127098321,False,22.9,58.0,6.9,16.0,21.3,19.33,25.86,2012-2014,Playoffs,0.22628458498023712,0.5731225296442688,0.3066666666666667,0.7111111111111111
40,28,2.0,Houston Rockets*,82,241.2,38.1,82.7,0.461,10.6,28.9,0.366,27.5,53.8,0.511,19.2,25.5,0.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0,0.549,West,2013,0.3494558645707376,False,25.9,54.8,6.1,15.4,23.0,18.2,25.09,2012-2014,Playoffs,0.2443396226415094,0.5169811320754717,0.2629310344827586,0.6637931034482759
41,0,29.0,Chicago Bulls*,82,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2,0.549,East,2013,0.1884944920440636,False,16.5,45.8,5.2,13.6,18.1,17.53,28.33,2012-2014,Playoffs,0.17703862660944206,0.4914163090128755,0.22608695652173913,0.591304347826087
42,24,6.0,Los Angeles Lakers*,82,240.9,37.1,81.0,0.458,8.7,24.6,0.355,28.4,56.4,0.503,19.3,27.9,0.692,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,0.549,West,2013,0.3037037037037037,False,27.3,58.10000000000001,6.7,16.799999999999997,23.0,20.3,30.64,2012-2014,Playoffs,0.2671232876712329,0.5684931506849316,0.30180180180180183,0.7567567567567567
43,17,14.0,Atlanta Hawks*,82,242.1,37.6,81.0,0.464,8.6,23.2,0.371,29.0,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,0.537,East,2013,0.2864197530864197,False,17.5,49.5,7.2,15.0,19.8,18.1,28.18,2012-2014,Playoffs,0.17857142857142858,0.5051020408163265,0.2938775510204082,0.6122448979591837
45,11,18.0,Boston Celtics*,81,244.9,37.0,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21.0,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,0.506,East,2013,0.2158092848180677,False,18.6,47.10000000000001,11.1,18.4,19.2,18.8,27.8,2012-2014,Playoffs,0.1927461139896373,0.48808290155440426,0.48684210526315785,0.8070175438596491
47,18,12.0,Milwaukee Bucks*,82,241.8,38.1,87.8,0.435,7.3,20.4,0.36,30.8,67.4,0.457,15.3,20.7,0.736,13.0,30.9,44.0,22.9,8.4,6.7,14.1,19.0,98.9,0.463,East,2013,0.2323462414578587,False,19.2,49.900000000000006,6.5,16.0,18.7,18.53,27.55,2012-2014,Playoffs,0.1941354903943377,0.5045500505561173,0.2838427947598253,0.6986899563318778
